file,gt,angry_before,disgust_before,fear_before,happy_before,sadness_before,surprise_before,neutral_before,dominant_emotion_before,angry_after,disgust_after,fear_after,happy_after,sadness_after,surprise_after,neutral_after,dominant_emotion_after
angry\angry_0026.jpg,angry,1.0,0.0,0.0,0.0,0.0,0.0,1.0,angry,1.0,0.0,0.0,0.0,0.0,0.0,1.0,angry
angry\angry_0055.jpg,angry,0.0,0.0,0.0,1.0,0.0,0.0,0.0,happy,0.0,0.0,0.0,1.0,0.0,0.0,0.0,happy
angry\angry_0058.jpg,angry,1.0,0.0,0.0,0.0,0.0,0.0,1.0,angry,1.0,0.0,0.0,0.0,0.0,0.0,0.0,angry
angry\angry_0072.jpg,angry,1.0,0.0,0.0,0.0,0.0,0.0,1.0,angry,1.0,0.0,0.0,0.0,0.0,0.0,1.0,angry
angry\angry_0082.jpg,angry,1.0,1.0,0.0,0.0,0.0,0.0,0.0,angry,0.0,0.0,0.0,1.0,0.0,0.0,0.0,happy
angry\angry_0090.jpg,angry,1.0,0.0,0.0,0.0,0.0,0.0,1.0,angry,1.0,0.0,0.0,1.0,0.0,0.0,0.0,angry
angry\angry_0093.jpg,angry,1.0,0.0,0.0,0.0,0.0,0.0,1.0,angry,1.0,0.0,0.0,0.0,1.0,0.0,1.0,angry
angry\angry_0107.jpg,angry,1.0,0.0,1.0,0.0,1.0,1.0,1.0,angry,1.0,0.0,1.0,0.0,1.0,1.0,1.0,angry
angry\angry_0120.jpg,angry,0.0,0.0,0.0,0.0,0.0,0.0,1.0,neutral,0.0,0.0,0.0,0.0,1.0,0.0,1.0,sad
angry\angry_0156.jpg,angry,1.0,0.0,1.0,0.0,1.0,1.0,1.0,angry,0.0,0.0,1.0,0.0,1.0,1.0,1.0,fear
angry\angry_0201.jpg,angry,1.0,0.0,0.0,0.0,0.0,0.0,1.0,angry,1.0,0.0,0.0,0.0,1.0,0.0,1.0,angry
angry\angry_0228.jpg,angry,0.0,0.0,0.0,0.0,1.0,1.0,1.0,sad,0.0,0.0,0.0,0.0,1.0,0.0,1.0,sad
angry\angry_0232.jpg,angry,0.0,0.0,1.0,0.0,1.0,1.0,1.0,fear,0.0,0.0,1.0,0.0,1.0,1.0,1.0,fear
angry\angry_0287.jpg,angry,1.0,0.0,1.0,0.0,1.0,1.0,1.0,angry,1.0,0.0,1.0,0.0,0.0,1.0,0.0,angry
angry\angry_0303.jpg,angry,0.0,0.0,1.0,0.0,0.0,1.0,0.0,fear,0.0,0.0,1.0,1.0,0.0,1.0,0.0,fear
angry\angry_0308.jpg,angry,1.0,0.0,0.0,0.0,0.0,0.0,1.0,angry,1.0,0.0,0.0,0.0,1.0,0.0,1.0,angry
angry\angry_0368.jpg,angry,0.0,0.0,1.0,0.0,1.0,1.0,1.0,fear,0.0,0.0,1.0,0.0,1.0,1.0,1.0,fear
angry\angry_0391.jpg,angry,0.0,0.0,0.0,0.0,0.0,0.0,1.0,neutral,1.0,1.0,0.0,0.0,0.0,0.0,1.0,angry
angry\angry_0446.jpg,angry,1.0,0.0,1.0,0.0,1.0,1.0,1.0,angry,1.0,0.0,0.0,0.0,1.0,0.0,1.0,angry
angry\angry_0452.jpg,angry,1.0,0.0,1.0,0.0,1.0,0.0,1.0,angry,1.0,0.0,0.0,0.0,1.0,0.0,0.0,angry
angry\angry_0518.jpg,angry,0.0,0.0,1.0,0.0,0.0,1.0,0.0,fear,0.0,0.0,1.0,0.0,1.0,1.0,0.0,fear
angry\angry_0531.jpg,angry,1.0,0.0,1.0,0.0,1.0,1.0,0.0,angry,0.0,0.0,1.0,0.0,0.0,1.0,0.0,fear
angry\angry_0544.jpg,angry,1.0,0.0,0.0,0.0,0.0,1.0,1.0,angry,0.0,0.0,0.0,0.0,1.0,0.0,1.0,sad
angry\angry_0547.jpg,angry,1.0,0.0,0.0,0.0,1.0,0.0,1.0,angry,0.0,0.0,0.0,0.0,1.0,0.0,1.0,sad
angry\angry_0553.jpg,angry,1.0,0.0,0.0,0.0,0.0,0.0,1.0,angry,1.0,0.0,0.0,0.0,0.0,0.0,0.0,angry
angry\angry_0557.jpg,angry,1.0,0.0,1.0,0.0,1.0,1.0,0.0,angry,0.0,0.0,1.0,1.0,0.0,0.0,0.0,fear
angry\angry_0572.jpg,angry,0.0,0.0,1.0,0.0,1.0,1.0,1.0,fear,0.0,0.0,1.0,0.0,0.0,1.0,0.0,fear
angry\angry_0622.jpg,angry,1.0,0.0,0.0,0.0,1.0,0.0,1.0,angry,1.0,0.0,0.0,0.0,1.0,0.0,1.0,angry
angry\angry_0624.jpg,angry,1.0,0.0,1.0,0.0,1.0,0.0,1.0,angry,1.0,0.0,1.0,0.0,1.0,0.0,1.0,angry
angry\angry_0639.jpg,angry,1.0,0.0,0.0,0.0,0.0,0.0,1.0,angry,1.0,0.0,0.0,0.0,1.0,0.0,1.0,angry
angry\angry_0656.jpg,angry,1.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,1.0,0.0,0.0,0.0,0.0,0.0,0.0,angry
angry\angry_0774.jpg,angry,1.0,0.0,0.0,0.0,0.0,0.0,1.0,angry,1.0,0.0,0.0,0.0,1.0,0.0,1.0,angry
angry\angry_0791.jpg,angry,1.0,0.0,0.0,0.0,0.0,0.0,1.0,angry,1.0,0.0,0.0,0.0,0.0,0.0,1.0,angry
angry\angry_0813.jpg,angry,1.0,0.0,0.0,0.0,1.0,0.0,1.0,angry,1.0,0.0,0.0,0.0,0.0,0.0,1.0,angry
angry\angry_0818.jpg,angry,0.0,0.0,0.0,0.0,1.0,1.0,1.0,sad,0.0,0.0,0.0,0.0,1.0,0.0,1.0,sad
angry\angry_0838.jpg,angry,1.0,0.0,0.0,0.0,0.0,0.0,1.0,angry,1.0,0.0,0.0,0.0,1.0,0.0,1.0,angry
angry\angry_0854.jpg,angry,1.0,0.0,0.0,0.0,0.0,0.0,1.0,angry,1.0,0.0,0.0,0.0,0.0,0.0,1.0,angry
angry\angry_0888.jpg,angry,1.0,0.0,1.0,0.0,1.0,1.0,0.0,angry,0.0,0.0,1.0,0.0,1.0,1.0,0.0,fear
angry\angry_0908.jpg,angry,1.0,0.0,0.0,0.0,1.0,0.0,1.0,angry,1.0,0.0,0.0,0.0,1.0,0.0,1.0,angry
angry\angry_0911.jpg,angry,1.0,0.0,1.0,0.0,1.0,1.0,0.0,angry,0.0,0.0,1.0,0.0,0.0,1.0,0.0,fear
angry\angry_0919.jpg,angry,1.0,0.0,1.0,0.0,1.0,0.0,1.0,angry,1.0,0.0,1.0,0.0,1.0,0.0,1.0,angry
angry\angry_0952.jpg,angry,1.0,0.0,1.0,0.0,0.0,0.0,0.0,angry,1.0,0.0,1.0,0.0,0.0,0.0,0.0,angry
angry\angry_0982.jpg,angry,1.0,1.0,0.0,0.0,1.0,0.0,1.0,angry,1.0,0.0,0.0,0.0,1.0,1.0,1.0,angry
angry\angry_0987.jpg,angry,1.0,0.0,0.0,0.0,0.0,0.0,1.0,angry,1.0,0.0,0.0,0.0,1.0,0.0,1.0,angry
angry\angry_1038.jpg,angry,0.0,0.0,1.0,0.0,1.0,1.0,0.0,fear,0.0,0.0,1.0,0.0,1.0,1.0,0.0,fear
angry\angry_1039.jpg,angry,0.0,0.0,0.0,0.0,0.0,1.0,1.0,surprise,1.0,0.0,0.0,0.0,1.0,0.0,1.0,angry
angry\angry_1043.jpg,angry,0.0,0.0,0.0,0.0,1.0,1.0,1.0,sad,0.0,0.0,0.0,1.0,0.0,0.0,0.0,happy
angry\angry_1098.jpg,angry,1.0,0.0,0.0,0.0,0.0,0.0,1.0,angry,1.0,0.0,0.0,0.0,1.0,0.0,1.0,angry
angry\angry_1100.jpg,angry,0.0,0.0,1.0,0.0,1.0,1.0,0.0,fear,0.0,0.0,1.0,0.0,1.0,1.0,0.0,fear
angry\angry_1184.jpg,angry,1.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,1.0,0.0,1.0,0.0,0.0,0.0,0.0,angry
angry\angry_1223.jpg,angry,1.0,0.0,1.0,0.0,1.0,1.0,0.0,angry,1.0,0.0,1.0,0.0,1.0,0.0,0.0,angry
angry\angry_1329.jpg,angry,1.0,0.0,1.0,0.0,1.0,0.0,1.0,angry,1.0,0.0,1.0,0.0,1.0,0.0,1.0,angry
angry\angry_1330.jpg,angry,0.0,0.0,1.0,0.0,0.0,1.0,0.0,fear,0.0,0.0,1.0,1.0,0.0,0.0,0.0,fear
angry\angry_1337.jpg,angry,1.0,0.0,1.0,0.0,0.0,1.0,0.0,angry,1.0,0.0,1.0,0.0,0.0,0.0,0.0,angry
angry\angry_1378.jpg,angry,1.0,0.0,1.0,0.0,0.0,1.0,0.0,angry,1.0,0.0,1.0,0.0,0.0,1.0,0.0,angry
angry\angry_1403.jpg,angry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,1.0,0.0,0.0,0.0,0.0,0.0,0.0,angry
