file,gt,angry_before,disgust_before,fear_before,happy_before,sadness_before,surprise_before,neutral_before,dominant_emotion_before,angry_after,disgust_after,fear_after,happy_after,sadness_after,surprise_after,neutral_after,dominant_emotion_after
angry\angry_0026.jpg,angry,0.0378,0.0004,0.1847,0.0003,0.6076,0.0268,0.1423,sad,0.9366,0.0001,0.0001,0.0003,0.0066,0.0002,0.0562,angry
angry\angry_0042.jpg,angry,0.1007,0.0026,0.2486,0.0003,0.6093,0.0097,0.0287,sad,0.9986,0.0,0.0,0.0,0.0006,0.0,0.0007,angry
angry\angry_0055.jpg,angry,0.0627,0.0053,0.653,0.001,0.1238,0.1302,0.024,fear,0.9019,0.0876,0.0004,0.0018,0.0011,0.0007,0.0064,angry
angry\angry_0058.jpg,angry,0.3163,0.0616,0.4064,0.0026,0.0877,0.0962,0.0293,fear,0.9526,0.0428,0.0002,0.0013,0.0003,0.001,0.0018,angry
angry\angry_0072.jpg,angry,0.3616,0.4891,0.0585,0.0003,0.0846,0.002,0.004,disgust,0.9088,0.0909,0.0,0.0,0.0001,0.0,0.0001,angry
angry\angry_0082.jpg,angry,0.115,0.0054,0.5977,0.0018,0.1063,0.0347,0.1391,fear,0.7645,0.0006,0.0012,0.0038,0.003,0.0135,0.2133,angry
angry\angry_0090.jpg,angry,0.2099,0.0004,0.4553,0.0002,0.3164,0.0017,0.016,fear,0.9987,0.0,0.0002,0.0001,0.0001,0.0001,0.0008,angry
angry\angry_0093.jpg,angry,0.3295,0.0024,0.2075,0.0002,0.4242,0.0049,0.0313,sad,0.9867,0.0004,0.0002,0.0002,0.0074,0.0003,0.0048,angry
angry\angry_0107.jpg,angry,0.209,0.2418,0.52,0.0026,0.0068,0.0176,0.0023,fear,0.975,0.0137,0.0102,0.0004,0.0,0.0007,0.0,angry
angry\angry_0120.jpg,angry,0.1286,0.0007,0.0083,0.0036,0.252,0.2354,0.3715,neutral,0.9486,0.0002,0.0007,0.0019,0.0051,0.0025,0.0409,angry
angry\angry_0137.jpg,angry,0.001,0.0068,0.7843,0.0,0.146,0.0589,0.0031,fear,0.1256,0.704,0.0243,0.0004,0.0423,0.0261,0.0773,disgust
angry\angry_0156.jpg,angry,0.1659,0.1989,0.5171,0.001,0.0164,0.0969,0.0038,fear,0.7847,0.0629,0.1427,0.0008,0.0013,0.0069,0.0006,angry
angry\angry_0158.jpg,angry,0.0038,0.0008,0.7301,0.0001,0.2376,0.0142,0.0134,fear,0.4578,0.0063,0.027,0.005,0.1719,0.0022,0.3298,angry
angry\angry_0191.jpg,angry,0.0141,0.0027,0.9422,0.0001,0.0246,0.0133,0.0031,fear,0.017,0.9449,0.0364,0.0001,0.0003,0.0009,0.0003,disgust
angry\angry_0194.jpg,angry,0.0279,0.0006,0.5923,0.0002,0.2292,0.0133,0.1366,fear,0.5983,0.0033,0.0044,0.0002,0.0462,0.0004,0.3472,angry
angry\angry_0201.jpg,angry,0.5375,0.0004,0.0153,0.0007,0.335,0.0039,0.1072,angry,0.9554,0.0,0.0001,0.0002,0.0062,0.0001,0.038,angry
angry\angry_0224.jpg,angry,0.0077,0.0014,0.8497,0.0005,0.0473,0.0892,0.0041,fear,,,,,,,,
angry\angry_0228.jpg,angry,0.0198,0.0012,0.0175,0.0008,0.6195,0.026,0.3152,sad,0.7665,0.0565,0.0008,0.0284,0.0079,0.0067,0.1331,angry
