file,gt,angry_before,disgust_before,fear_before,happy_before,sadness_before,surprise_before,neutral_before,dominant_emotion_before,angry_after,disgust_after,fear_after,happy_after,sadness_after,surprise_after,neutral_after,dominant_emotion_after
angry\angry_0005.jpg,angry,0.9604,0.0142,0.015,0.0045,0.0003,0.0047,0.0008,angry,0.4349,0.0064,0.4942,0.0218,0.0148,0.0265,0.0015,fear
angry\angry_0151.jpg,angry,0.7193,0.0065,0.0095,0.0003,0.1654,0.0038,0.0952,angry,0.237,0.0547,0.0471,0.0009,0.3695,0.0041,0.2866,sad
angry\angry_0181.jpg,angry,0.9995,0.0,0.0002,0.0,0.0003,0.0,0.0001,angry,0.9997,0.0,0.0001,0.0,0.0001,0.0,0.0,angry
angry\angry_0301.jpg,angry,0.9848,0.0002,0.0,0.0,0.011,0.0,0.004,angry,0.8442,0.0,0.0002,0.0001,0.1053,0.0,0.0503,angry
angry\angry_0343.jpg,angry,0.9974,0.0002,0.0012,0.0001,0.0,0.0009,0.0001,angry,0.9998,0.0,0.0001,0.0,0.0,0.0001,0.0,angry
angry\angry_0350.jpg,angry,0.9517,0.0289,0.0021,0.001,0.0064,0.0076,0.0023,angry,0.8614,0.0638,0.0561,0.0004,0.0078,0.0093,0.0011,angry
angry\angry_0364.jpg,angry,0.7235,0.1633,0.0053,0.0282,0.0037,0.0112,0.0647,angry,0.9583,0.0233,0.0004,0.0017,0.0006,0.0072,0.0085,angry
angry\angry_0582.jpg,angry,0.7897,0.0125,0.0096,0.0006,0.0195,0.1228,0.0453,angry,0.1996,0.0167,0.0698,0.0018,0.0912,0.5778,0.0431,surprise
angry\angry_0591.jpg,angry,0.8989,0.0564,0.0195,0.0001,0.01,0.0127,0.0024,angry,0.9716,0.0247,0.0015,0.0,0.0008,0.0011,0.0004,angry
angry\angry_0617.jpg,angry,0.6034,0.0003,0.0163,0.0004,0.0353,0.039,0.3053,angry,0.6467,0.0002,0.0668,0.0004,0.0211,0.1037,0.161,angry
angry\angry_0651.jpg,angry,0.98,0.0001,0.0026,0.0001,0.0042,0.0034,0.0096,angry,0.9834,0.0001,0.0008,0.0,0.0099,0.0004,0.0054,angry
angry\angry_0661.jpg,angry,0.9996,0.0,0.0,0.0,0.0,0.0,0.0002,angry,0.997,0.0004,0.0006,0.0,0.0011,0.0001,0.0009,angry
angry\angry_0699.jpg,angry,0.8299,0.0029,0.0045,0.0034,0.1536,0.0019,0.0039,angry,0.4332,0.0044,0.0125,0.0024,0.5368,0.0047,0.006,sad
angry\angry_0736.jpg,angry,0.949,0.0008,0.0008,0.0002,0.0353,0.0001,0.0138,angry,0.7223,0.0086,0.0058,0.0001,0.2376,0.0006,0.0251,angry
angry\angry_0781.jpg,angry,0.9625,0.0031,0.0001,0.0016,0.0045,0.0003,0.0279,angry,0.9863,0.0009,0.0005,0.0012,0.0031,0.0004,0.0075,angry
angry\angry_0790.jpg,angry,0.6992,0.0151,0.1088,0.0005,0.032,0.1189,0.0256,angry,0.6973,0.0221,0.1758,0.0009,0.0292,0.0661,0.0085,angry
angry\angry_0976.jpg,angry,0.9916,0.0003,0.0006,0.0,0.005,0.0,0.0024,angry,0.9943,0.0001,0.0008,0.0,0.001,0.0009,0.0029,angry
angry\angry_1050.jpg,angry,0.7336,0.006,0.0025,0.0028,0.0146,0.1534,0.0872,angry,0.4834,0.4046,0.0066,0.0052,0.0179,0.0513,0.0309,angry
angry\angry_1164.jpg,angry,0.9388,0.0005,0.0004,0.0001,0.0192,0.0002,0.0408,angry,0.5394,0.0348,0.0925,0.0007,0.0385,0.1163,0.178,angry
angry\angry_1250.jpg,angry,0.9665,0.0021,0.0031,0.0031,0.0026,0.0198,0.0028,angry,0.9682,0.0001,0.0025,0.0065,0.0006,0.0207,0.0014,angry
angry\angry_1293.jpg,angry,0.6983,0.0016,0.011,0.0021,0.2789,0.0059,0.0022,angry,0.0563,0.0002,0.0099,0.0009,0.928,0.0038,0.0009,sad
angry\angry_1347.jpg,angry,0.4696,0.1775,0.0005,0.0002,0.0308,0.0237,0.2976,angry,0.2356,0.0751,0.009,0.0005,0.0537,0.2162,0.4099,neutral
angry\angry_1689.jpg,angry,0.912,0.0004,0.0004,0.0006,0.0408,0.0003,0.0455,angry,0.7472,0.0001,0.0002,0.0001,0.2294,0.0001,0.023,angry
angry\angry_1692.jpg,angry,0.9606,0.0,0.0001,0.0,0.0129,0.0,0.0264,angry,0.9688,0.0,0.0,0.0,0.0137,0.0,0.0175,angry
angry\angry_1772.jpg,angry,0.9277,0.0656,0.0001,0.001,0.0022,0.0,0.0034,angry,0.9695,0.0096,0.0006,0.0004,0.0073,0.0004,0.0122,angry
angry\angry_2030.jpg,angry,0.9084,0.0,0.0,0.0,0.0637,0.0,0.0277,angry,0.9725,0.0,0.0,0.0,0.0231,0.0,0.0043,angry
angry\angry_2047.jpg,angry,0.8233,0.173,0.0001,0.0,0.0029,0.0001,0.0007,angry,0.9928,0.0057,0.0004,0.0,0.0007,0.0001,0.0002,angry
angry\angry_2203.jpg,angry,0.7021,0.0001,0.0254,0.001,0.0025,0.2487,0.0201,angry,0.0256,0.0,0.0238,0.0007,0.0006,0.9445,0.0048,surprise
angry\angry_2206.jpg,angry,0.947,0.0,0.0003,0.0001,0.0086,0.0012,0.0428,angry,0.9017,0.0,0.0003,0.0003,0.0076,0.0023,0.0879,angry
angry\angry_2228.jpg,angry,0.9551,0.0304,0.0009,0.0009,0.0062,0.0012,0.0053,angry,0.077,0.8947,0.0039,0.0026,0.0082,0.0025,0.0111,disgust
angry\angry_2295.jpg,angry,0.868,0.1312,0.0003,0.0001,0.0003,0.0,0.0001,angry,0.9829,0.016,0.0004,0.0001,0.0006,0.0,0.0001,angry
angry\angry_2333.jpg,angry,0.9787,0.0001,0.0027,0.0,0.0052,0.0006,0.0127,angry,0.9756,0.0002,0.0022,0.0,0.0134,0.0002,0.0084,angry
