file,gt,angry_before,disgust_before,fear_before,happy_before,sadness_before,surprise_before,neutral_before,dominant_emotion_before,angry_after,disgust_after,fear_after,happy_after,sadness_after,surprise_after,neutral_after,dominant_emotion_after
angry\angry_0026.jpg,angry,0.0378,0.0004,0.1847,0.0003,0.6076,0.0268,0.1423,sad,0.903,0.0001,0.0,0.0003,0.002,0.0002,0.0944,angry
angry\angry_0055.jpg,angry,0.0627,0.0053,0.653,0.001,0.1238,0.1302,0.024,fear,0.9665,0.0009,0.0014,0.0011,0.0012,0.0131,0.0158,angry
angry\angry_0058.jpg,angry,0.3163,0.0616,0.4064,0.0026,0.0877,0.0962,0.0293,fear,0.9776,0.0027,0.0014,0.0017,0.001,0.0096,0.006,angry
angry\angry_0072.jpg,angry,0.3616,0.4891,0.0585,0.0003,0.0846,0.002,0.004,disgust,0.9196,0.08,0.0001,0.0,0.0002,0.0,0.0001,angry
angry\angry_0082.jpg,angry,0.115,0.0054,0.5977,0.0018,0.1063,0.0347,0.1391,fear,0.8655,0.0005,0.0013,0.0016,0.0035,0.0179,0.1097,angry
angry\angry_0090.jpg,angry,0.2099,0.0004,0.4553,0.0002,0.3164,0.0017,0.016,fear,0.9972,0.0,0.0001,0.0002,0.0002,0.0001,0.0022,angry
angry\angry_0093.jpg,angry,0.3295,0.0024,0.2075,0.0002,0.4242,0.0049,0.0313,sad,0.7262,0.0008,0.0014,0.0004,0.2269,0.0006,0.0438,angry
angry\angry_0107.jpg,angry,0.209,0.2418,0.52,0.0026,0.0068,0.0176,0.0023,fear,0.9556,0.009,0.0257,0.0002,0.0,0.0092,0.0002,angry
angry\angry_0120.jpg,angry,0.1286,0.0007,0.0083,0.0036,0.252,0.2354,0.3715,neutral,0.9626,0.0001,0.0002,0.0016,0.0058,0.0007,0.0289,angry
angry\angry_0156.jpg,angry,0.1659,0.1989,0.5171,0.001,0.0164,0.0969,0.0038,fear,0.9688,0.0184,0.0118,0.0001,0.0003,0.0005,0.0001,angry
angry\angry_0201.jpg,angry,0.5375,0.0004,0.0153,0.0007,0.335,0.0039,0.1072,angry,0.8691,0.0001,0.0003,0.0003,0.0425,0.0004,0.0873,angry
angry\angry_0228.jpg,angry,0.0198,0.0012,0.0175,0.0008,0.6195,0.026,0.3152,sad,0.2204,0.0111,0.0001,0.0079,0.0139,0.0023,0.7443,neutral
angry\angry_0232.jpg,angry,0.6643,0.0257,0.0734,0.0039,0.0505,0.1262,0.056,angry,0.9759,0.0145,0.0001,0.0022,0.0002,0.0025,0.0045,angry
angry\angry_0287.jpg,angry,0.0467,0.0201,0.878,0.0005,0.0267,0.0261,0.002,fear,0.9998,0.0,0.0001,0.0,0.0,0.0,0.0,angry
angry\angry_0303.jpg,angry,0.0257,0.5059,0.2273,0.001,0.2152,0.0197,0.0052,disgust,0.9828,0.0116,0.001,0.0019,0.0008,0.0015,0.0003,angry
angry\angry_0308.jpg,angry,0.0383,0.0039,0.8082,0.0001,0.0937,0.044,0.0118,fear,0.9957,0.001,0.0008,0.0001,0.0001,0.0017,0.0005,angry
angry\angry_0368.jpg,angry,0.5259,0.0241,0.0429,0.0062,0.1705,0.0598,0.1706,angry,0.9742,0.0047,0.0013,0.0053,0.0013,0.0082,0.005,angry
angry\angry_0391.jpg,angry,0.366,0.0374,0.0029,0.0001,0.5521,0.0073,0.0342,sad,0.9968,0.0026,0.0,0.0,0.0003,0.0,0.0002,angry
angry\angry_0446.jpg,angry,0.0538,0.0012,0.2769,0.0016,0.3386,0.2506,0.0773,sad,0.8162,0.0043,0.0019,0.0108,0.0122,0.0547,0.1,angry
angry\angry_0452.jpg,angry,0.3593,0.0002,0.0672,0.0004,0.3795,0.0028,0.1906,sad,0.9371,0.0,0.0,0.0002,0.0135,0.0,0.0492,angry
