file,gt,angry_before,disgust_before,fear_before,happy_before,sadness_before,surprise_before,neutral_before,dominant_emotion_before,angry_after,disgust_after,fear_after,happy_after,sadness_after,surprise_after,neutral_after,dominant_emotion_after
angry\angry_0005.jpg,angry,0.9604,0.0142,0.015,0.0045,0.0003,0.0047,0.0008,angry,0.7926,0.0074,0.1679,0.0177,0.0083,0.0056,0.0006,angry
angry\angry_0181.jpg,angry,0.9995,0.0,0.0002,0.0,0.0003,0.0,0.0001,angry,0.9999,0.0,0.0,0.0,0.0,0.0,0.0,angry
angry\angry_0343.jpg,angry,0.9974,0.0002,0.0012,0.0001,0.0,0.0009,0.0001,angry,1.0,0.0,0.0,0.0,0.0,0.0,0.0,angry
angry\angry_0364.jpg,angry,0.7235,0.1633,0.0053,0.0282,0.0037,0.0112,0.0647,angry,0.997,0.0006,0.0002,0.0001,0.0002,0.0003,0.0018,angry
angry\angry_0582.jpg,angry,0.7897,0.0125,0.0096,0.0006,0.0195,0.1228,0.0453,angry,0.7419,0.0355,0.024,0.0013,0.0218,0.1492,0.0263,angry
angry\angry_0591.jpg,angry,0.8989,0.0564,0.0195,0.0001,0.01,0.0127,0.0024,angry,0.9949,0.0002,0.0011,0.0,0.0002,0.0034,0.0002,angry
angry\angry_0617.jpg,angry,0.6034,0.0003,0.0163,0.0004,0.0353,0.039,0.3053,angry,0.724,0.0001,0.0047,0.0002,0.0112,0.0437,0.2161,angry
angry\angry_0651.jpg,angry,0.98,0.0001,0.0026,0.0001,0.0042,0.0034,0.0096,angry,0.9884,0.0001,0.0006,0.0,0.0045,0.0005,0.0059,angry
angry\angry_0661.jpg,angry,0.9996,0.0,0.0,0.0,0.0,0.0,0.0002,angry,0.9984,0.0005,0.0001,0.0,0.0005,0.0,0.0004,angry
angry\angry_0699.jpg,angry,0.8299,0.0029,0.0045,0.0034,0.1536,0.0019,0.0039,angry,0.6415,0.0102,0.003,0.0019,0.3276,0.003,0.0127,angry
angry\angry_0763.jpg,angry,0.9381,0.0019,0.0013,0.0007,0.0332,0.0044,0.0205,angry,0.7701,0.0048,0.0029,0.0014,0.1033,0.0273,0.0902,angry
angry\angry_0781.jpg,angry,0.9625,0.0031,0.0001,0.0016,0.0045,0.0003,0.0279,angry,0.9657,0.0002,0.0006,0.0004,0.0086,0.0005,0.0239,angry
angry\angry_0790.jpg,angry,0.6992,0.0151,0.1088,0.0005,0.032,0.1189,0.0256,angry,0.8027,0.0079,0.0918,0.0007,0.0273,0.0599,0.0097,angry
angry\angry_0976.jpg,angry,0.9916,0.0003,0.0006,0.0,0.005,0.0,0.0024,angry,0.9944,0.0001,0.0002,0.0,0.0014,0.0001,0.0039,angry
angry\angry_1050.jpg,angry,0.7336,0.006,0.0025,0.0028,0.0146,0.1534,0.0872,angry,0.7802,0.0908,0.0037,0.006,0.0103,0.0723,0.0368,angry
angry\angry_1164.jpg,angry,0.9388,0.0005,0.0004,0.0001,0.0192,0.0002,0.0408,angry,0.617,0.0004,0.1013,0.0008,0.0116,0.1431,0.1258,angry
angry\angry_1293.jpg,angry,0.6983,0.0016,0.011,0.0021,0.2789,0.0059,0.0022,angry,0.2185,0.0005,0.0563,0.001,0.7172,0.0053,0.0012,sad
angry\angry_1347.jpg,angry,0.4696,0.1775,0.0005,0.0002,0.0308,0.0237,0.2976,angry,0.9068,0.0576,0.0023,0.0001,0.0031,0.0122,0.0179,angry
angry\angry_1689.jpg,angry,0.912,0.0004,0.0004,0.0006,0.0408,0.0003,0.0455,angry,0.5818,0.0001,0.0001,0.0003,0.3161,0.0001,0.1015,angry
angry\angry_1692.jpg,angry,0.9606,0.0,0.0001,0.0,0.0129,0.0,0.0264,angry,0.9883,0.0,0.0,0.0,0.0059,0.0,0.0059,angry
angry\angry_1772.jpg,angry,0.9277,0.0656,0.0001,0.001,0.0022,0.0,0.0034,angry,0.9831,0.0102,0.0003,0.0004,0.0015,0.0001,0.0044,angry
angry\angry_2030.jpg,angry,0.9084,0.0,0.0,0.0,0.0637,0.0,0.0277,angry,0.8988,0.0,0.0002,0.0001,0.08,0.0001,0.0208,angry
