file,gt,angry_before,disgust_before,fear_before,happy_before,sadness_before,surprise_before,neutral_before,dominant_emotion_before,angry_after,disgust_after,fear_after,happy_after,sadness_after,surprise_after,neutral_after,dominant_emotion_after
angry\angry_0151.jpg,angry,0.7193,0.0065,0.0095,0.0003,0.1654,0.0038,0.0952,angry,0.3775,0.0028,0.0076,0.0011,0.2676,0.0015,0.3417,angry
angry\angry_0301.jpg,angry,0.9848,0.0002,0.0,0.0,0.011,0.0,0.004,angry,0.773,0.0,0.0001,0.0,0.2084,0.0,0.0184,angry
angry\angry_0350.jpg,angry,0.9517,0.0289,0.0021,0.001,0.0064,0.0076,0.0023,angry,0.9972,0.0004,0.0014,0.0001,0.0,0.0009,0.0,angry
angry\angry_0736.jpg,angry,0.949,0.0008,0.0008,0.0002,0.0353,0.0001,0.0138,angry,0.6103,0.0025,0.0018,0.0001,0.3528,0.0003,0.0323,angry
angry\angry_0766.jpg,angry,0.9909,0.0,0.0007,0.0,0.0029,0.0009,0.0047,angry,0.4867,0.0006,0.0096,0.0022,0.0743,0.224,0.2025,angry
angry\angry_1168.jpg,angry,0.9886,0.0021,0.0002,0.0009,0.007,0.0,0.0013,angry,0.1358,0.0006,0.0003,0.0034,0.8351,0.0014,0.0233,sad
angry\angry_1250.jpg,angry,0.9665,0.0021,0.0031,0.0031,0.0026,0.0198,0.0028,angry,0.7588,0.0005,0.0053,0.0244,0.0212,0.0179,0.172,angry
angry\angry_2459.jpg,angry,0.8192,0.0029,0.0975,0.0171,0.0016,0.0556,0.0059,angry,0.7876,0.0167,0.0941,0.0004,0.0895,0.0023,0.0093,angry
angry\angry_2782.jpg,angry,0.9896,0.0009,0.0033,0.0002,0.0021,0.0027,0.0013,angry,0.971,0.0022,0.0029,0.0,0.0216,0.0005,0.0017,angry
angry\angry_3134.jpg,angry,0.675,0.2389,0.0008,0.0,0.0824,0.0004,0.0026,angry,0.6908,0.2387,0.0001,0.0,0.0691,0.0,0.0012,angry
angry\angry_3245.jpg,angry,0.9859,0.0,0.001,0.0,0.0076,0.0004,0.0051,angry,0.9951,0.0,0.0004,0.0002,0.0017,0.0001,0.0024,angry
angry\angry_6771.jpg,angry,0.9653,0.0176,0.0006,0.0008,0.0036,0.0105,0.0017,angry,0.9985,0.0002,0.001,0.0,0.0,0.0003,0.0,angry
