file,angry_before,disgust_before,fear_before,happy_before,sadness_before,surprise_before,neutral_before,dominant_emotion_before,angry_after,disgust_after,fear_after,happy_after,sadness_after,surprise_after,neutral_after,dominant_emotion_after
angry\angry_0026.jpg,0.0378,0.0004,0.1847,0.0003,0.6076,0.0268,0.1423,sad,0.903,0.0001,0.0,0.0003,0.002,0.0002,0.0944,angry
angry\angry_0055.jpg,0.0627,0.0053,0.653,0.001,0.1238,0.1302,0.024,fear,0.9665,0.0009,0.0014,0.0011,0.0012,0.0131,0.0158,angry
angry\angry_0058.jpg,0.3163,0.0616,0.4064,0.0026,0.0877,0.0962,0.0293,fear,0.9776,0.0027,0.0014,0.0017,0.001,0.0096,0.006,angry
angry\angry_0072.jpg,0.3616,0.4891,0.0585,0.0003,0.0846,0.002,0.004,disgust,0.9196,0.08,0.0001,0.0,0.0002,0.0,0.0001,angry
angry\angry_0082.jpg,0.115,0.0054,0.5977,0.0018,0.1063,0.0347,0.1391,fear,0.8655,0.0005,0.0013,0.0016,0.0035,0.0179,0.1097,angry
disgust\disgust_0018.jpg,0.0126,0.0097,0.6834,0.0002,0.2347,0.0479,0.0115,fear,0.4023,0.5872,0.0011,0.0006,0.0064,0.0009,0.0015,disgust
disgust\disgust_0025.jpg,0.1071,0.1664,0.4116,0.0022,0.1818,0.0687,0.0621,fear,0.8719,0.1214,0.0024,0.0006,0.0019,0.0007,0.0013,angry
disgust\disgust_0044.jpg,0.0107,0.7932,0.1111,0.0004,0.0657,0.0161,0.0027,disgust,0.001,0.9988,0.0,0.0,0.0001,0.0,0.0001,disgust
disgust\disgust_0056.jpg,0.0229,0.5418,0.1559,0.0022,0.2093,0.0266,0.0413,disgust,0.9539,0.019,0.0005,0.0013,0.0051,0.0007,0.0194,angry
disgust\disgust_0072.jpg,0.0062,0.0307,0.7444,0.0004,0.1537,0.0474,0.0173,fear,0.2997,0.694,0.0017,0.002,0.0008,0.0009,0.0009,disgust
fear\fear_0019.jpg,0.0101,0.0014,0.7656,0.0006,0.0145,0.1971,0.0106,fear,0.0285,0.0004,0.3773,0.0042,0.0015,0.5794,0.0088,surprise
fear\fear_0033.jpg,0.0009,0.0001,0.954,0.0,0.0118,0.0325,0.0006,fear,0.0669,0.0001,0.8011,0.0008,0.0008,0.1302,0.0002,fear
fear\fear_0046.jpg,0.0006,0.0009,0.9727,0.0,0.0189,0.0057,0.0012,fear,0.0007,0.0005,0.9912,0.0004,0.0012,0.0059,0.0001,fear
fear\fear_0051.jpg,,,,,,,,,0.0396,0.0017,0.6791,0.0018,0.007,0.2612,0.0095,fear
fear\fear_0054.jpg,,,,,,,,,0.9141,0.0022,0.055,0.0011,0.0001,0.0274,0.0002,angry
happy\happy_0004.jpg,0.0264,0.0053,0.0652,0.0028,0.2527,0.5641,0.0835,surprise,0.049,0.0226,0.0025,0.4599,0.0106,0.4453,0.0102,happy
happy\happy_0010.jpg,0.0292,0.3028,0.0923,0.2224,0.0973,0.0999,0.156,disgust,0.0133,0.0042,0.003,0.7788,0.0005,0.1958,0.0043,happy
happy\happy_0013.jpg,0.0076,0.0048,0.56,0.0056,0.4143,0.0043,0.0033,fear,0.0239,0.0004,0.0013,0.9644,0.0072,0.0022,0.0006,happy
happy\happy_0015.jpg,0.0081,0.0029,0.0986,0.0009,0.5849,0.2357,0.0689,sad,0.0484,0.001,0.0009,0.631,0.0219,0.0497,0.2472,happy
happy\happy_0016.jpg,0.0024,0.0082,0.8134,0.0018,0.1327,0.0326,0.009,fear,0.002,0.0021,0.0049,0.5521,0.0007,0.437,0.0012,happy
neutral\neutral_0010.jpg,0.0265,0.0006,0.0645,0.0026,0.7421,0.0483,0.1156,sad,0.4404,0.0001,0.0,0.0048,0.0068,0.0,0.5479,neutral
neutral\neutral_0012.jpg,0.0138,0.0001,0.2832,0.0009,0.3178,0.0953,0.2889,sad,0.0055,0.0,0.0002,0.0003,0.009,0.0189,0.9662,neutral
neutral\neutral_0015.jpg,0.0025,0.0001,0.0666,0.0004,0.5184,0.0345,0.3775,sad,0.0146,0.0013,0.0008,0.0013,0.0277,0.0201,0.9342,neutral
neutral\neutral_0018.jpg,0.0118,0.0007,0.0934,0.0002,0.7809,0.0173,0.0957,sad,0.1744,0.0002,0.0011,0.0005,0.1915,0.0154,0.6169,neutral
neutral\neutral_0021.jpg,0.0108,0.0045,0.5482,0.0001,0.3006,0.0128,0.1229,fear,0.0807,0.01,0.0105,0.002,0.0933,0.1488,0.6546,neutral
sad\sad_0016.jpg,0.002,0.0002,0.5617,0.0001,0.4015,0.0275,0.007,fear,0.0034,0.0011,0.0219,0.0024,0.965,0.0045,0.0016,sad
sad\sad_0032.jpg,0.0075,0.0001,0.1136,0.0002,0.8432,0.0098,0.0256,sad,0.0106,0.0004,0.0016,0.0008,0.929,0.0006,0.0572,sad
sad\sad_0044.jpg,0.0125,0.0054,0.2458,0.0001,0.7097,0.0048,0.0216,sad,0.9001,0.0005,0.0089,0.0,0.0848,0.0005,0.0052,angry
sad\sad_0045.jpg,0.0393,0.0002,0.1616,0.0004,0.653,0.0843,0.0612,sad,0.1339,0.0001,0.003,0.0004,0.742,0.0106,0.1099,sad
sad\sad_0052.jpg,0.024,0.005,0.1211,0.0034,0.5268,0.0845,0.2354,sad,0.0014,0.0,0.0002,0.0006,0.924,0.0049,0.0688,sad
surprise\surprise_0013.jpg,0.0063,0.0005,0.6673,0.0002,0.1046,0.212,0.0091,fear,0.0233,0.0001,0.003,0.0008,0.005,0.9195,0.0483,surprise
